#{"t_start": 1749460870.6456552, "env_id": "None"}
r,l,t
179.5,103,88.193481
-0.5,28,88.207627
172.0,118,88.265903
295.5,169,89.420813
369.5,218,89.541774
698.5,312,89.70094
512.0,273,89.841471
247.5,146,89.914458
544.5,268,90.052935
421.0,202,90.154815
803.5,377,90.349845
193.5,132,91.390266
35.0,56,91.418813
7.5,36,91.436837
616.0,307,91.61359
184.5,103,91.665377
66.5,60,91.696108
253.0,129,91.763176
405.5,189,91.860124
14.0,40,91.880619
596.0,297,92.032583
236.5,135,92.101335
269.5,128,92.166238
220.5,114,92.224193
572.5,316,92.387971
57.0,43,92.410066
179.5,83,93.550665
72.5,61,93.591847
183.5,122,93.662593
225.5,119,93.73269
123.5,87,93.781561
359.0,200,93.882795
310.0,161,93.964281
213.5,132,94.031847
169.0,110,94.088586
344.5,193,94.185273
128.0,74,94.222351
502.5,241,94.347634
749.5,353,94.533322
770.0,361,95.789307
-7.0,24,95.805895
267.0,143,95.885531
244.5,153,95.963018
457.0,233,96.08934
44.0,50,96.115451
110.0,71,96.151366
817.0,358,96.33814
398.5,187,96.434392
624.5,318,96.606786
611.5,305,96.768252
-25.5,3,96.770255
267.5,141,97.914378
147.5,86,97.966382
678.5,317,98.154807
237.5,131,98.224428
593.0,314,98.385207
-13.0,28,98.399331
462.5,246,98.526645
349.5,198,98.629149
709.0,325,98.798611
502.5,261,98.939415
66.5,55,100.034222
504.0,255,100.212033
341.0,192,100.3152
400.5,209,100.421524
177.5,96,100.470947
52.5,66,100.506209
-9.5,19,100.515751
203.5,97,100.565592
480.5,219,100.676935
335.5,199,100.780546
380.0,216,100.8922
83.5,77,100.931083
182.0,98,100.980963
129.0,75,101.01879
48.5,57,101.048935
312.5,176,102.110214
122.0,98,102.17287
773.5,337,102.386259
415.0,201,102.492412
151.5,95,102.543045
251.0,122,102.605563
443.5,232,102.72944
459.0,245,102.85534
195.0,116,102.913651
100.0,61,102.944368
-27.0,24,102.95694
295.0,166,103.041105
45.5,39,103.060252
411.5,175,103.150517
626.5,320,104.432942
154.0,95,104.48815
136.5,90,104.536753
112.5,76,104.578138
672.0,323,104.756741
186.5,125,104.824085
443.5,237,104.947063
520.5,304,105.104924
91.0,52,105.134425
84.5,68,105.171356
486.5,245,105.300451
201.0,132,105.369161
429.5,233,106.470367
226.5,120,106.544327
394.5,223,106.665043
346.0,202,106.768108
216.0,132,106.836259
356.0,207,106.96245
-8.5,20,106.973031
269.5,143,107.053937
461.5,220,107.177964
575.0,266,107.337504
390.5,199,107.443335
186.5,105,107.498899
495.0,281,108.81163
585.5,354,109.012533
211.5,130,109.077939
1032.0,518,109.364333
50.5,34,109.395925
65.5,49,109.423139
19.5,28,109.437245
737.0,373,109.641533
